Time,
2016-01-16 00:00:00 UTC,5537684103.48113
2016-01-17 00:00:00 UTC,5859957648.24029
2016-01-18 00:00:00 UTC,5766963649.55179
2016-01-19 00:00:00 UTC,5829076358.39054
2016-01-20 00:00:00 UTC,5695719916.1254
2016-01-21 00:00:00 UTC,6323670669.67185
2016-01-22 00:00:00 UTC,6184447089.9022
2016-01-23 00:00:00 UTC,5840822574.71086
2016-01-24 00:00:00 UTC,5858736607.0153
2016-01-25 00:00:00 UTC,6051813455.98778
2016-01-26 00:00:00 UTC,5937292117.5147
2016-01-27 00:00:00 UTC,5922688957.06909
2016-01-28 00:00:00 UTC,5978377597.24721
2016-01-29 00:00:00 UTC,5629017509.19038
2016-01-30 00:00:00 UTC,5741510405.59018
2016-01-31 00:00:00 UTC,5717566707.78297
2016-02-01 00:00:00 UTC,5589814713.81708
2016-02-02 00:00:00 UTC,5657259160.16854
2016-02-03 00:00:00 UTC,5663799871.34704
2016-02-04 00:00:00 UTC,5603957395.56933
2016-02-05 00:00:00 UTC,5888830400.08962
2016-02-06 00:00:00 UTC,5794935796.72218
2016-02-07 00:00:00 UTC,5709153934.74181
2016-02-08 00:00:00 UTC,5709411096.78528
2016-02-09 00:00:00 UTC,5655142710.63595
2016-02-10 00:00:00 UTC,5687433379.87851
2016-02-11 00:00:00 UTC,5783644383.00941
2016-02-12 00:00:00 UTC,5758485589.31652
2016-02-13 00:00:00 UTC,5843015954.76247
2016-02-14 00:00:00 UTC,6001045467.99974
2016-02-15 00:00:00 UTC,6200942536.34768
2016-02-16 00:00:00 UTC,6107258747.61201
2016-02-17 00:00:00 UTC,6200440870.92074
2016-02-18 00:00:00 UTC,6325905713.78185
2016-02-19 00:00:00 UTC,6417228710.52904
2016-02-20 00:00:00 UTC,6409568782.4811
2016-02-21 00:00:00 UTC,6658285990.67018
2016-02-22 00:00:00 UTC,6645094020.88974
2016-02-23 00:00:00 UTC,6687858341.08769
2016-02-24 00:00:00 UTC,6443428273.27946
2016-02-25 00:00:00 UTC,6497670613.19403
2016-02-26 00:00:00 UTC,6447449426.34824
2016-02-27 00:00:00 UTC,6613899752.43152
2016-02-28 00:00:00 UTC,6537321560.83862
2016-02-29 00:00:00 UTC,6581668726.8594
2016-03-01 00:00:00 UTC,6693114258.87449
2016-03-02 00:00:00 UTC,6633135008.39824
2016-03-03 00:00:00 UTC,6444022063.06586
2016-03-04 00:00:00 UTC,6426305260.1764
2016-03-05 00:00:00 UTC,6221014419.2831
2016-03-06 00:00:00 UTC,6064266017.28595
2016-03-07 00:00:00 UTC,6188650053.80007
2016-03-08 00:00:00 UTC,6322223517.1414
2016-03-09 00:00:00 UTC,6290069063.54639
